Macros,Netlist,HPWL
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137), (91, 148), (149, 57), (79, 54), (90, 101), (84, 58), (77, 122)]","[(0, 54), (1, 29), (2, 45), (3, 39), (4, 34), (5, 26), (6, 15), (7, 42), (8, 24), (9, 23), (10, 49), (11, 59), (12, 44), (13, 19), (14, 22), (16, 48), (17, 40), (18, 41), (20, 30), (21, 27), (25, 28), (31, 33), (32, 43), (35, 47), (36, 37), (38, 51), (46, 56), (50, 58), (52, 57), (53, 55)]",40910.94344826852
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98)]","[(0, 15), (1, 9), (2, 18), (3, 24), (4, 10), (5, 17), (6, 27), (7, 21), (8, 20), (11, 22), (12, 29), (13, 14), (16, 23), (19, 25), (26, 28)]",11051.445526095224
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132)]","[(0, 33), (1, 8), (2, 18), (3, 20), (4, 42), (5, 27), (6, 36), (7, 9), (10, 15), (11, 38), (12, 17), (13, 26), (14, 24), (16, 31), (19, 41), (21, 45), (22, 34), (23, 43), (25, 29), (28, 32), (30, 35), (37, 40), (39, 44)]",28176.263047530167
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71), (118, 143), (81, 70), (109, 98), (84, 131), (138, 121), (78, 137)]","[(0, 9), (1, 22), (2, 48), (3, 27), (4, 51), (5, 40), (6, 49), (7, 12), (8, 21), (10, 11), (13, 42), (14, 32), (15, 18), (16, 43), (17, 41), (19, 44), (20, 38), (23, 37), (24, 45), (25, 31), (26, 50), (28, 36), (29, 30), (33, 34), (35, 52), (39, 53), (46, 47)]",36862.70790112854
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130)]","[(0, 21), (1, 31), (2, 4), (3, 22), (5, 25), (6, 11), (7, 15), (8, 9), (10, 27), (12, 24), (13, 29), (14, 23), (16, 19), (17, 30), (18, 20), (26, 28)]",10988.340568775466
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132)]","[(0, 17), (1, 4), (2, 34), (3, 22), (5, 20), (6, 16), (7, 31), (8, 12), (9, 11), (10, 30), (13, 14), (15, 21), (18, 27), (19, 39), (23, 35), (24, 44), (25, 37), (26, 45), (28, 32), (29, 41), (33, 36), (38, 43), (40, 42)]",27343.049508595224
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85), (108, 131), (96, 70), (97, 95), (76, 135), (84, 139), (137, 132), (59, 127), (131, 71)]","[(0, 11), (1, 34), (2, 32), (3, 17), (4, 31), (5, 18), (6, 33), (7, 10), (8, 26), (9, 39), (12, 30), (13, 14), (15, 20), (16, 47), (19, 29), (21, 22), (23, 27), (24, 42), (25, 40), (28, 35), (36, 44), (37, 45), (38, 46), (41, 43)]",33524.9403757546
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60)]","[(0, 9), (1, 27), (2, 21), (3, 36), (4, 25), (5, 19), (6, 29), (7, 30), (8, 16), (10, 26), (11, 37), (12, 34), (13, 24), (14, 23), (15, 20), (17, 18), (22, 32), (28, 33), (31, 35)]",16854.916391686897
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61), (98, 62), (95, 94), (127, 83), (55, 143), (108, 118), (65, 98), (60, 120), (87, 130), (129, 96), (123, 74), (140, 58), (55, 134), (79, 148), (87, 60), (79, 62), (98, 85)]","[(0, 8), (1, 11), (2, 36), (3, 39), (4, 31), (5, 29), (6, 7), (9, 30), (10, 27), (12, 22), (13, 33), (14, 19), (15, 26), (16, 24), (17, 38), (18, 32), (20, 21), (23, 25), (28, 35), (34, 37)]",20548.520246496213
"[(131, 64), (53, 144), (85, 81), (78, 67), (144, 63), (136, 144), (119, 61), (125, 104), (54, 53), (61, 77), (79, 114), (127, 53), (121, 75), (141, 133), (139, 119), (103, 78), (107, 125), (85, 50), (147, 70), (139, 104), (93, 85), (69, 77), (147, 93), (63, 61)]","[(0, 19), (1, 10), (2, 18), (3, 6), (4, 20), (5, 12), (7, 23), (8, 14), (9, 17), (11, 13), (15, 22), (16, 21)]",8209.515601081655
